Id,SalePrice
1461,125373.05
1462,163391.8
1463,196899.7
1464,186149.61
1465,207079.3
1466,151518.64
1467,168760.48
1468,149838.25
1469,197044.9
1470,130537.664
1471,216174.06
1472,88638.0
1473,87871.33
1474,154049.8
1475,118163.305
1476,351372.38
1477,217071.27
1478,280923.7
1479,293757.66
1480,592087.94
1481,310728.3
1482,223745.16
1483,150160.69
1484,163554.56
1485,157459.67
1486,175867.81
1487,318555.12
1488,214284.06
1489,160262.39
1490,210139.03
1491,163917.3
1492,83267.22
1493,165963.27
1494,252390.83
1495,310934.28
1496,233266.7
1497,171043.16
1498,150642.62
1499,166165.5
1500,157946.22
1501,169414.88
1502,145249.14
1503,271225.8
1504,249831.06
1505,210752.36
1506,188356.61
1507,239297.94
1508,234585.36
1509,152917.89
1510,144511.03
1511,142171.17
1512,163469.73
1513,147385.0
1514,153318.73
1515,216130.56
1516,143032.72
1517,164288.52
1518,118356.61
1519,218697.86
1520,133137.42
1521,137217.67
1522,182736.05
1523,112587.17
1524,125550.96
1525,125191.21
1526,116420.04
1527,100186.39
1528,134952.66
1529,151119.34
1530,154242.95
1531,99159.71
1532,102848.35
1533,148837.61
1534,103699.195
1535,153732.34
1536,110753.65
1537,71247.56
1538,144217.92
1539,177607.06
1540,59673.88
1541,128012.83
1542,128677.09
1543,186391.89
1544,75658.64
1545,118802.18
1546,122032.17
1547,133530.97
1548,137997.97
1549,99593.484
1550,120883.48
1551,110101.35
1552,137603.47
1553,119493.14
1554,99539.93
1555,164289.94
1556,79710.055
1557,96726.88
1558,97411.37
1559,73490.63
1560,137729.64
1561,123102.87
1562,108794.25
1563,124193.27
1564,165412.44
1565,149811.53
1566,262141.5
1567,77956.3
1568,221445.3
1569,116546.336
1570,144130.61
1571,108207.13
1572,129404.64
1573,236775.67
1574,100279.875
1575,202735.98
1576,208834.64
1577,174647.7
1578,133986.11
1579,143280.92
1580,212184.83
1581,154159.28
1582,124513.34
1583,362435.9
1584,186407.19
1585,144152.33
1586,65772.99
1587,100993.445
1588,153775.16
1589,110568.75
1590,142144.88
1591,93613.234
1592,102163.56
1593,130130.46
1594,125614.45
1595,82830.42
1596,222031.94
1597,183941.25
1598,198945.56
1599,188701.28
1600,163133.33
1601,77841.664
1602,100018.56
1603,77279.875
1604,315664.88
1605,264896.88
1606,169771.66
1607,196126.45
1608,210561.3
1609,145526.02
1610,135830.14
1611,111826.34
1612,148971.95
1613,138735.73
1614,130384.625
1615,101912.79
1616,78676.43
1617,93638.414
1618,124040.45
1619,123486.414
1620,148249.72
1621,115952.555
1622,141922.33
1623,325024.6
1624,198614.39
1625,126380.82
1626,152351.5
1627,187384.64
1628,310768.9
1629,184520.17
1630,427768.8
1631,220112.73
1632,259210.53
1633,152988.66
1634,203395.58
1635,180521.36
1636,124835.44
1637,194356.84
1638,177124.66
1639,162573.6
1640,282636.56
1641,192423.64
1642,214920.75
1643,193608.72
1644,239540.89
1645,203877.98
1646,162980.8
1647,182706.58
1648,133799.05
1649,143088.52
1650,118489.2
1651,131257.08
1652,87236.49
1653,85386.09
1654,154672.05
1655,170694.61
1656,151644.4
1657,156847.75
1658,153183.83
1659,144905.58
1660,139924.58
1661,419494.2
1662,376756.9
1663,373752.56
1664,545548.5
1665,268003.53
1666,402270.7
1667,361661.1
1668,305254.6
1669,259812.19
1670,297606.7
1671,280457.12
1672,598556.2
1673,254670.38
1674,221917.61
1675,182460.55
1676,188923.67
1677,215170.95
1678,587251.7
1679,418082.34
1680,323061.62
1681,192933.73
1682,325988.47
1683,152929.84
1684,149691.0
1685,144445.45
1686,159769.78
1687,139498.88
1688,170832.7
1689,167369.61
1690,193964.64
1691,182734.12
1692,261091.61
1693,149083.38
1694,185468.61
1695,149434.4
1696,275829.0
1697,155536.19
1698,367045.8
1699,311172.8
1700,234328.9
1701,276429.66
1702,261900.38
1703,218359.2
1704,274616.38
1705,225500.45
1706,559025.6
1707,192476.31
1708,171315.61
1709,235950.88
1710,234058.45
1711,236224.89
1712,212327.33
1713,236642.23
1714,226970.39
1715,203418.06
1716,146263.98
1717,164171.36
1718,111573.56
1719,168907.5
1720,212567.61
1721,145344.6
1722,103096.5
1723,158089.81
1724,183732.1
1725,237581.12
1726,195444.75
1727,142919.12
1728,178092.67
1729,151071.64
1730,134859.12
1731,111848.96
1732,128023.81
1733,117046.125
1734,123928.83
1735,133926.72
1736,119203.47
1737,285991.1
1738,222984.06
1739,305670.88
1740,191639.45
1741,181371.58
1742,170202.06
1743,183589.88
1744,319932.75
1745,194508.31
1746,216119.25
1747,219972.97
1748,214564.81
1749,160132.67
1750,142027.66
1751,255005.53
1752,125539.48
1753,133020.28
1754,203427.77
1755,161394.16
1756,143768.88
1757,123510.23
1758,140108.86
1759,163465.83
1760,169657.88
1761,152457.02
1762,166786.27
1763,178044.44
1764,104058.61
1765,176647.78
1766,172541.9
1767,212691.94
1768,142044.88
1769,188677.7
1770,132395.6
1771,118429.33
1772,134454.73
1773,121512.72
1774,131671.44
1775,135689.94
1776,119925.6
1777,113559.086
1778,139076.72
1779,105844.664
1780,182191.22
1781,140691.44
1782,89641.27
1783,132525.69
1784,94242.24
1785,116900.99
1786,136774.25
1787,139800.53
1788,56754.555
1789,94885.24
1790,75157.32
1791,196706.56
1792,156667.16
1793,141594.48
1794,140677.88
1795,143425.02
1796,110313.13
1797,119418.984
1798,121081.93
1799,112795.34
1800,114811.484
1801,118585.87
1802,112582.336
1803,154785.83
1804,153092.11
1805,136690.14
1806,107396.81
1807,120321.4
1808,98616.41
1809,108297.164
1810,148592.4
1811,94286.91
1812,75919.125
1813,112674.93
1814,88641.625
1815,61726.637
1816,105645.09
1817,93722.39
1818,133812.83
1819,100760.55
1820,43483.613
1821,109016.71
1822,129761.414
1823,29840.258
1824,121096.016
1825,122133.46
1826,85423.48
1827,100666.6
1828,143974.69
1829,109821.26
1830,132121.0
1831,145035.55
1832,82135.445
1833,126443.15
1834,110716.91
1835,129148.56
1836,126288.54
1837,108642.98
1838,116983.19
1839,83052.29
1840,180580.4
1841,146081.39
1842,64701.113
1843,149546.73
1844,131949.25
1845,132109.27
1846,163157.14
1847,160814.0
1848,60624.133
1849,122896.42
1850,114597.29
1851,160358.08
1852,126990.95
1853,138005.88
1854,176115.89
1855,117416.414
1856,223356.1
1857,160267.72
1858,126286.73
1859,113359.67
1860,159163.14
1861,113359.67
1862,317515.38
1863,312244.44
1864,312244.44
1865,271014.53
1866,315739.88
1867,208858.97
1868,302254.7
1869,171490.19
1870,228508.73
1871,248252.61
1872,141571.4
1873,240331.44
1874,143426.78
1875,224387.94
1876,194235.08
1877,214361.31
1878,207556.6
1879,135098.55
1880,139159.52
1881,225290.86
1882,229651.33
1883,170928.36
1884,168563.45
1885,256803.64
1886,318724.38
1887,217116.62
1888,245487.02
1889,143621.42
1890,128846.79
1891,148829.25
1892,96274.83
1893,136508.16
1894,105458.07
1895,147120.03
1896,139493.03
1897,118974.85
1898,107629.664
1899,135472.95
1900,128563.5
1901,155444.11
1902,131072.95
1903,196619.92
1904,125058.51
1905,193695.33
1906,159709.0
1907,177197.47
1908,99152.24
1909,143470.84
1910,109823.664
1911,195050.56
1912,258877.28
1913,118335.516
1914,53582.766
1915,334759.47
1916,65461.234
1917,247892.3
1918,144650.7
1919,166333.23
1920,122517.266
1921,444617.9
1922,290854.88
1923,212274.3
1924,214180.88
1925,171026.19
1926,413047.62
1927,140840.84
1928,154533.17
1929,117786.86
1930,97096.38
1931,149840.55
1932,134583.4
1933,181204.03
1934,161587.75
1935,176264.75
1936,189203.33
1937,165532.69
1938,172774.56
